domain,title,link,gov_type,last_update
wikipedia.org,Elecciones presidenciales de Estados Unidos de 2024,https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Estados_Unidos_de_2024,,2017-12-12
as.com,Elecciones Estados Unidos 2024 en vivo: Trump vs. Harris ...,https://us.as.com/actualidad/elecciones-usa/elecciones-estados-unidos-2024-en-vivo-trump-vs-harris-campana-electoral-encuestas-y-ultimas-noticias-en-directo-n/,,2024-10-24
bbc.com,Elecciones en Estados Unidos 2024 - BBC News Mundo,https://www.bbc.com/mundo/topics/c1v8en6r2qgt,,2024-11-11
elpais.com,Calculadora electoral de Estados Unidos - Elecciones USA,https://elpais.com/internacional/elecciones-usa/2024-10-23/calculadora-electoral-de-estados-unidos-que-estados-debe-asegurarse-el-ganador.html,,2024-11-05
usa.gov,Proceso de las elecciones presidenciales de EE. UU.,https://www.usa.gov/es/proceso-eleccion-presidencial,government,2016-04-01
nytimes.com,Encuestas electorales 2024: Harris vs. Trump,https://www.nytimes.com/es/interactive/2024/espanol/estados-unidos/encuesta-elecciones-presidencial.html,,Unknown
elmundo.es,Cuándo son las elecciones de EEUU 2024: fechas clave ...,https://www.elmundo.es/como/2024/10/22/671780c421efa082428b4572.html,,2024-11-04
elpais.com,"Elecciones en Estados Unidos, en vivo | Kamala Harris ...",https://elpais.com/internacional/elecciones-usa/2024-10-25/elecciones-en-estados-unidos-en-vivo.html,,2024-10-25
bbc.com,"Erie, el ""condado bumerán"" que (casi siempre) vota por ...",https://www.bbc.com/mundo/articles/cgl42nlj6r5o,,2024-10-25
usa.gov,Use las guías de votantes y boletas de muestra para ...,https://www.usa.gov/es/candidatos-guias-votar-boletas-muestra,government,2024-01-01
maricopa.gov,¿Qué incluye mi boleta?,https://elections.maricopa.gov/es/candidates/what-is-on-my-ballot.html,government,Unknown
azsos.gov,¿QuÉ contiene mi BOLETA ELECTORAL?,http://apps.azsos.gov/election/BallotMeasures/2024/2024_FolletoPublicitario_E.pdf,government,Unknown
flaglerelections.com,PAPELETA DE MUESTRA OFICIAL,https://www.flaglerelections.com/Portals/Flagler/pdfs/2024/2024-PRI-SB-SP.pdf,,Unknown
votelevy.gov,Pdf document,https://www.votelevy.gov/Portals/Levy/documents/Spanish%20SAMPLE%202024%20General%20Election%20Ballot%20R3-converted.docx?ver=XlJTsSEa0l92mixA1-SuEQ%3D%3D,government,Unknown
clarkcountynv.gov,Fechas Importantes para las Elecciones de 2024,https://www.clarkcountynv.gov/Election%20Department/2024/2024-Dates-SP.pdf,government,Unknown
sbcounty.gov,Elecciones Generales del 2024 – Registro de Votantes del ...,https://elections.sbcounty.gov/es/elections/2024/1105/,government,2025-06-24
votebradfordfl.gov,Official Primary Election Sample Ballot / Boleta Oficial de,https://www.votebradfordfl.gov/Portals/Bradford/2024%20Primary%20Sample_fw.pdf,government,Unknown
harrisvotes.com,SAMPLE BALLOT BOLETA DE MUESTRA,https://files.harrisvotes.com/harrisvotes/prd/SampleBallot/1124_Yellow%20Sample%20Ballot_EN_SP.pdf?sv=2017-04-17&sr=b&si=DNNFileManagerPolicy&sig=6Bq4UIVFC6I7HCE5GZmLGvvHVYyRKrKrZH%2FuKs72o2o%3D,,
usa.gov,"Cómo, cuándo y dónde votar",https://www.usa.gov/es/como-votar-en-estados-unidos,government,
usa.gov,Voto en ausencia y voto por correo,https://www.usa.gov/es/voto-ausente,government,2013-01-01
azcleanelections.gov,Boleta por Correo | Comisión de Elecciones Limpias de los ...,https://www.azcleanelections.gov/es/voting-methods/ballot-by-mail,government,2024-01-01
maricopa.gov,Solicita una boleta por correo,https://elections.maricopa.gov/es/voting/request-mail-ballot.html,government,Unknown
vote411.org,Personalized Ballot Spanish,https://www.vote411.org/es/ballot,,2025-01-01
usa.gov,Use las guías de votantes y boletas de muestra para ...,https://www.usa.gov/es/candidatos-guias-votar-boletas-muestra,government,2024-01-01
vote.gov,Cómo votar en Estados Unidos,https://vote.gov/es/guide-to-voting,government,2024-06-01
vote411.org,Arizona Voting Information,https://www.vote411.org/es/arizona,,2025-07-07
maricopa.gov,¿Dónde puedo votar?,https://elections.maricopa.gov/es/voting/where-to-vote.html,government,Unknown
lavote.gov,Cómo obtener la boleta electoral,https://www.lavote.gov/es/home/voting-elections/opciones-para-votaci%C3%B3n-e-informaci%C3%B3n/militares-y-en-el-extranjero/c%C3%B3mo-obtener-la-boleta-electoral,government,
scielo.org.mx,Opinión de mujeres con interrupción voluntaria ...,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0041-86332007000300009,,2007-12-01
sld.cu,El aborto dentro del contexto social - SciELO Cuba - Infomed,"http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-21252010000100014#:~:text=El%20aborto%20es%20un%20fen%C3%B3meno,la%20legalidad%20y%20la%20moralidad.",,2010-03-01
congreso.gob.pe,Argumentos a favor y en contra del Aborto,https://www2.congreso.gob.pe/sicr/cendocbib/con4_uibd.nsf/2610C1CA2E2CC36E05257E310062951E/$FILE/ArgumentosafavoryencontradelAborto.pdf,,
unab.edu.co,Opiniones acerca Del aborto | Quiero ser ...,https://unab.edu.co/opiniones-acerca-del-aborto/,,2006-04-01
mysu.org.uy,¿A favor o en contra del aborto? Conoce las diferentes ...,https://www.mysu.org.uy/multimedia/mysu-en-medio/a-favor-o-en-contra-del-aborto-conoce-las-diferentes-posturas-para-formar-tu-opinion/,,2024-03-12
ipsos.com,Opiniones globales sobre el aborto 2023,https://www.ipsos.com/es-pe/opiniones-globales-sobre-el-aborto-2023,,Unknown
core.ac.uk,Opinión pública sobre interrupción voluntaria del ...,https://core.ac.uk/download/pdf/144554752.pdf,,
saludpublica.mx,Vista de Encuesta de opinión sobre el aborto en la Ciudad ...,https://saludpublica.mx/index.php/spm/article/view/5729/6318,,
scielo.br,Los médicos en formación y el aborto: opinión de ...,https://www.scielo.br/j/csp/a/GdrTNpLQPmcR3GDSSxT7wQN/?lang=es&format=html,,1997-04-17
udp.cl,Opiniones de los chilenos sobre el aborto,https://prepre.udp.cl/cms/wp-content/uploads/2019/08/aborto_chile.pdf,,
amnesty.org,Derecho al aborto - Amnistía Internacional,https://www.amnesty.org/es/what-we-do/sexual-and-reproductive-rights/abortion-facts/,,2024-11-25
usa.gov,Proceso de las elecciones presidenciales de EE. UU.,https://www.usa.gov/es/proceso-eleccion-presidencial,government,2016-04-01
wikipedia.org,Elecciones presidenciales de Estados Unidos de 2024,https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Estados_Unidos_de_2024,,2017-12-12
elmundo.es,Cuándo son las elecciones de EEUU 2024: fechas clave ...,https://www.elmundo.es/como/2024/10/22/671780c421efa082428b4572.html,,2024-11-04
usa.gov,Cuándo son las elecciones en Estados Unidos,https://www.usa.gov/es/cuando-votar,government,2024-01-01
dallasnews.com,Cuándo son las elecciones para presidente en Estados ...,https://www.dallasnews.com/espanol/al-dia/noticias/2024/10/10/cuando-son-elecciones-usa-trump-kamala-harris/,,2024-10-10
lanacion.com.ar,¿Cuándo son las elecciones presidenciales en Estados ...,https://www.lanacion.com.ar/estados-unidos/cuando-son-las-elecciones-presidenciales-en-estados-unidos-en-2024-nid21102024/,,2024-10-21
cnn.com,Cuándo son las elecciones en EE.UU. 2024,https://cnnespanol.cnn.com/2024/07/22/cuando-son-elecciones-ee-uu-2024-fechas-clave-campana-electoral-orix,,2024-07-22
sbcountyelections.com,Elecciones Primarias Presidenciales de 2024,https://sbcountyelections.com/es/elections/2024/0305/,,2024-03-05
maricopa.gov,Fechas y plazos electorales importantes,https://elections.maricopa.gov/es/voting/election-calendar.html,government,Unknown
vote.gov,Regístrese para votar en su estado,https://vote.gov/es,government,2024-07-01
maricopa.gov,¿Dónde puedo votar?,https://elections.maricopa.gov/es/voting/where-to-vote.html,government,Unknown
maricopa.gov,Inscríbete para votar - Registro electoral,https://elections.maricopa.gov/es/voter-registration/register-to-vote.html,government,Unknown
usa.gov,Encuentre el centro de votación donde le toca votar,https://www.usa.gov/es/encontrar-centro-de-votacion,government,2024-01-01
usa.gov,Averigüe si está registrado para votar en EE. UU.,https://www.usa.gov/es/averigue-si-esta-registrado-para-votar,government,2024-01-01
vote411.org,Arizona Voting Information,https://www.vote411.org/es/arizona,,2025-07-07
vote.gov,Regístrese para votar en las elecciones de EE. UU.,https://vote.gov/es/registrar,government,2024-10-01
wi.gov,Buscar mi lugar de votación,https://myvote.wi.gov/es-es/Find-My-Polling-Place,government,Unknown
vote.gov,Regístrese para votar en su estado,https://vote.gov/es,government,2024-07-01
ine.mx,para votar en las,https://votoextranjero.ine.mx/srve_ciudadano/app/ciudadano/onboard,,Unknown
ine.mx,Ayuda - Sistema de Registro para Votar desde el Extranjero,https://votoextranjero.ine.mx/srve_ciudadano/app/ciudadano/ayuda,,Unknown
houstonchronicle.com,Respaldos para las elecciones de Texas de 2024,https://www.houstonchronicle.com/projects/2024/respaldos-electorales-de-texas/,,2024-10-17
seiu775.org,Respaldos en las elecciones de Washington del 2024,https://seiu775.org/es/2024endorsements/,,2024-06-19
nytimes.com,¿Qué efecto puede tener el respaldo de Taylor Swift a ...,https://www.nytimes.com/es/2024/09/13/espanol/estados-unidos/taylor-swift-apoyo-kamala-harris.html,,Unknown
usa.gov,Elecciones primarias presidenciales y “caucus”,https://www.usa.gov/es/elecciones-primarias-caucus,government,2024-01-01
peoplesalliancepac.org,¿Los candidatos pueden asistir a las reuniones de ...,https://www.peoplesalliancepac.org/_los_candidatos_pueden_asistir_a_las_reuniones_de_respaldo_del_pac_de_pa,,2019-01-01
copalmn.org,COPAL anuncia primer proceso de respaldo de candidatos,https://copalmn.org/es/copal-anuncia-primer-proceso-de-respaldo-de-candidatos/,,2025-01-01
houstonchronicle.com,Guía para votantes de Texas 2024,https://www.houstonchronicle.com/projects/2024/eleccion-guia-electoral-de-texas/,,2024-10-17
oavotes.org,Anuncio de nuestra primera ronda de respaldos para las ...,https://oavotes.org/es/2024/04/announcing-our-first-slate-of-2024-primary-election-endorsements/,,2024-04-08
diariolasamericas.com,Saliente tasador anuncia respaldo al candidato ...,https://www.diariolasamericas.com/florida/saliente-tasador-anuncia-respaldo-al-candidato-republicano-tomas-regalado-n5365417,,2024-10-18
elnuevodia.com,¿Respaldo de Nydia Velázquez y Alexandria Ocasio ...,https://www.elnuevodia.com/noticias/politica/notas/respaldo-de-nydia-velazquez-y-alexandria-ocasio-cortez-para-los-candidatos-de-la-alianza-de-pais/,,2024-10-14
nytimes.com,Estos son los aspirantes a las elecciones presidenciales ...,https://www.nytimes.com/es/interactive/2023/espanol/elecciones-2024-usa-candidatos.html,,Unknown
wikipedia.org,Primarias presidenciales del Partido Republicano de 2024,https://es.wikipedia.org/wiki/Primarias_presidenciales_del_Partido_Republicano_de_2024,,2023-01-08
partidorepublicanodechile.cl,Partido Republicano de Chile,https://partidorepublicanodechile.cl/,,2025-07-14
voteosceola.gov,Candidatos Actuales,https://www.voteosceola.gov/es-us/Candidatos-Actuales,government,Unknown
harrisvotes.com,Candidatos,https://www.harrisvotes.com/es-us/Candidates,,2025-01-01
latimes.com,Más de 200 asistentes de candidatos republicanos ...,https://www.latimes.com/espanol/california/articulo/2024-08-27/mas-de-200-asistentes-de-candidatos-republicanos-anteriores-respaldan-a-kamala-harris,,2024-08-27
epcountyvotes.com,Información Relativa a los Candidatos,https://es.epcountyvotes.com/elected-officials-and-candidate-information/candidate-information,,2025-05-03
cnn.com,Estos son los aspirantes en la carrera por la candidatura ...,https://cnnespanol.cnn.com/2024/01/15/republicanos-aspirantes-elecciones-presidenciales-2024-trax,,2024-01-15
linguee.com,urna electoral - English translation,https://www.linguee.com/spanish-english/translation/urna+electoral.html,,2025-01-01
tureng.com,urna electoral - Spanish English Dictionary,https://tureng.com/en/spanish-english/urna%20electoral,,Unknown
reverso.net,urna electoral - Translation into English - examples Spanish,https://context.reverso.net/translation/spanish-english/urna+electoral,,Unknown
tse.jus.br,Electronic Voting Machine (EVM) — English,https://international.tse.jus.br/en/electronic-ballot-box,,2022-01-01
franklincountywa.gov,FAQs • ¿Que es una urna electoral?,https://franklincountywa.gov/FAQ.aspx?QID=305,government,2023-01-01
urnaelectoral.com,Urna Electoral - El portal de la democracia,https://urnaelectoral.com/,,
wikipedia.org,"Urna - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Urna,,2007-05-11
gymglish.com,"Spanish Una urna (electoral, funeraria) meaning in English",https://www.gymglish.com/en/hotel-borbollon/spanish-vocabulary/una-urna-electoral-funeraria,,2025-01-01
adobe.com,Urna electoral Stock Illustration,https://stock.adobe.com/images/urna-electoral/231713803,,1997-01-01
franklincountywa.gov,Urnas Electorales,https://www.franklincountywa.gov/487/Urnas-Electorales,government,2023-05-19
maricopa.gov,¿Dónde puedo votar?,https://elections.maricopa.gov/es/voting/where-to-vote.html,government,Unknown
phoenix.gov,Votar en los Centros de Votación,https://www.phoenix.gov/votar-en-los-centros-de-votaci%C3%B3n,government,Unknown
wi.gov,Buscar mi lugar de votación,https://myvote.wi.gov/es-es/Find-My-Polling-Place,government,Unknown
usa.gov,Encuentre el centro de votación donde le toca votar,https://www.usa.gov/es/encontrar-centro-de-votacion,government,2024-01-01
maricopa.gov,Elecciones del Condado de Maricopa,https://elections.maricopa.gov/es/,government,Unknown
vote411.org,Arizona Voting Information,https://www.vote411.org/es/arizona,,2025-07-07
phoenix.gov,8 de Noviembre de 2022 - Opciones para Votar,https://www.phoenix.gov/cityclerk/elecciones/elecciones-noviembre-22/opciones-para-votar-22,government,2025-07-14
